camera_id,camera,kind,category,visible_clusters,false_positive_clusters,candidate_instances,actual_visible_instances,instance_waste_ratio
15,orbit_e1_090,orbit,ShrubSorrel,2476,0,630176,630176,0.0
15,orbit_e1_090,orbit,Shrub,48,0,11337,11337,0.0
15,orbit_e1_090,orbit,Grass_B,1351,0,339865,339865,0.0
15,orbit_e1_090,orbit,Grass_A,1104,0,280985,280985,0.0
15,orbit_e1_090,orbit,Pyramid_Grass_B,185,0,44000,44000,0.0
15,orbit_e1_090,orbit,Pyramid_Moss,7953,0,2034610,2034610,0.0
15,orbit_e1_090,orbit,QueenForest,11485,15,578105,570454,0.013234620008475969
15,orbit_e1_090,orbit,RiverForest,12691,13,2275271,2244107,0.01369682996003553
15,orbit_e1_090,orbit,RiverSapling,1242,0,45000,45000,0.0
15,orbit_e1_090,orbit,RiverSeedling,9526,0,2266462,2266462,0.0
16,orbit_e1_120,orbit,Anthurium,17,0,138,138,0.0
16,orbit_e1_120,orbit,Nettle,19,0,330,330,0.0
16,orbit_e1_120,orbit,ShrubSorrel,2476,0,630176,630176,0.0
16,orbit_e1_120,orbit,Shrub,48,0,11337,11337,0.0
16,orbit_e1_120,orbit,Grass_B,1351,0,339865,339865,0.0
16,orbit_e1_120,orbit,Grass_A,1104,0,280985,280985,0.0
16,orbit_e1_120,orbit,Pyramid_Grass_B,185,0,44000,44000,0.0
16,orbit_e1_120,orbit,Pyramid_Moss,7953,0,2034610,2034610,0.0
16,orbit_e1_120,orbit,QueenForest,11571,23,581533,576813,0.00811647834258761
16,orbit_e1_120,orbit,RiverForest,12819,28,2284002,2263803,0.008843687527418978
16,orbit_e1_120,orbit,RiverSapling,1242,0,45000,45000,0.0
16,orbit_e1_120,orbit,RiverSeedling,9526,0,2266462,2266462,0.0
17,orbit_e1_150,orbit,Anthurium,17,0,138,138,0.0
17,orbit_e1_150,orbit,Nettle,19,0,330,330,0.0
17,orbit_e1_150,orbit,ShrubSorrel,2476,0,630176,630176,0.0
17,orbit_e1_150,orbit,Shrub,48,0,11337,11337,0.0
17,orbit_e1_150,orbit,Grass_B,1351,0,339865,339865,0.0
17,orbit_e1_150,orbit,Grass_A,1104,0,280985,280985,0.0
17,orbit_e1_150,orbit,Pyramid_Grass_B,185,0,44000,44000,0.0
17,orbit_e1_150,orbit,Pyramid_Moss,7953,0,2034610,2034610,0.0
17,orbit_e1_150,orbit,QueenForest,11571,29,579595,573565,0.01040381645804398
17,orbit_e1_150,orbit,RiverForest,12815,30,2280435,2257057,0.010251552883550726
17,orbit_e1_150,orbit,RiverSapling,1242,0,45000,45000,0.0
17,orbit_e1_150,orbit,RiverSeedling,9526,0,2266462,2266462,0.0
18,orbit_e1_180,orbit,Anthurium,17,0,138,138,0.0
18,orbit_e1_180,orbit,Nettle,19,0,330,330,0.0
18,orbit_e1_180,orbit,ShrubSorrel,2476,0,630176,630176,0.0
18,orbit_e1_180,orbit,Shrub,48,0,11337,11337,0.0
18,orbit_e1_180,orbit,Grass_B,1351,0,339865,339865,0.0
18,orbit_e1_180,orbit,Grass_A,1104,0,280985,280985,0.0
18,orbit_e1_180,orbit,Pyramid_Grass_B,185,0,44000,44000,0.0
18,orbit_e1_180,orbit,Pyramid_Moss,7953,0,2034610,2034610,0.0
18,orbit_e1_180,orbit,QueenForest,11489,35,577418,568488,0.015465399416020976
18,orbit_e1_180,orbit,RiverForest,12719,33,2275826,2242402,0.01468653578964297
18,orbit_e1_180,orbit,RiverSapling,1242,0,45000,45000,0.0
18,orbit_e1_180,orbit,RiverSeedling,9526,0,2266462,2266462,0.0
19,orbit_e1_210,orbit,Anthurium,17,0,138,138,0.0
19,orbit_e1_210,orbit,Nettle,19,0,330,330,0.0
19,orbit_e1_210,orbit,ShrubSorrel,2476,0,630176,630176,0.0
19,orbit_e1_210,orbit,Shrub,48,0,11337,11337,0.0
19,orbit_e1_210,orbit,Grass_B,1351,0,339865,339865,0.0
19,orbit_e1_210,orbit,Grass_A,1104,0,280985,280985,0.0
