sample,gpu_forward_ms,ia_vertices,ia_primitives,vs_invocations,ps_invocations,visible_instances,active_mesh_lods,logical_indices,list_r32_bytes,list_r16_bytes
119,24.007,420994533,140331511,234436786,41946938,722037,136,420994533,1683978132,841989066
120,23.6626,420994533,140331511,234436786,42047763,722037,136,420994533,1683978132,841989066
121,23.952,420994533,140331511,234436786,42008151,722037,136,420994533,1683978132,841989066
122,23.6942,420994533,140331511,234436786,42006818,722037,136,420994533,1683978132,841989066
123,23.9803,420994533,140331511,234436786,41992784,722037,136,420994533,1683978132,841989066
124,23.7887,420994533,140331511,234436786,42055820,722037,136,420994533,1683978132,841989066
125,24.0214,420994533,140331511,234436786,41981885,722037,136,420994533,1683978132,841989066
126,23.8036,420994533,140331511,234436786,42060755,722037,136,420994533,1683978132,841989066
127,24.0328,420994533,140331511,234436786,42018065,722037,136,420994533,1683978132,841989066
128,23.7533,420994533,140331511,234436786,42021429,722037,136,420994533,1683978132,841989066
129,24.0827,420994533,140331511,234436786,42011686,722037,136,420994533,1683978132,841989066
130,23.6734,420994533,140331511,234436786,41993269,722037,136,420994533,1683978132,841989066
131,23.8822,420994533,140331511,234436786,42016581,722037,136,420994533,1683978132,841989066
132,23.8025,420994533,140331511,234436786,41990706,722037,136,420994533,1683978132,841989066
133,24.1144,420994533,140331511,234436786,42005833,722037,136,420994533,1683978132,841989066
134,23.7969,420994533,140331511,234436786,42022397,722037,136,420994533,1683978132,841989066
135,23.9674,420994533,140331511,234436786,42026642,722037,136,420994533,1683978132,841989066
136,23.6754,420994533,140331511,234436786,42008367,722037,136,420994533,1683978132,841989066
137,23.9657,420994533,140331511,234436786,41997294,722037,136,420994533,1683978132,841989066
138,23.7908,420994533,140331511,234436786,42011488,722037,136,420994533,1683978132,841989066
139,24.0692,420994533,140331511,234436786,42051837,722037,136,420994533,1683978132,841989066
140,23.7983,420994533,140331511,234436786,42037805,722037,136,420994533,1683978132,841989066
141,23.9707,420994533,140331511,234436786,42058580,722037,136,420994533,1683978132,841989066
142,23.6976,420994533,140331511,234436786,41998521,722037,136,420994533,1683978132,841989066
143,24.1063,420994533,140331511,234436786,42020132,722037,136,420994533,1683978132,841989066
144,23.6981,420994533,140331511,234436786,42056687,722037,136,420994533,1683978132,841989066
145,23.9992,420994533,140331511,234436786,42580230,722037,136,420994533,1683978132,841989066
146,23.7067,420994533,140331511,234436786,42006021,722037,136,420994533,1683978132,841989066
