material_id,material,runtime_source,metallic_constant,constant_used_by_shader,metallic_binding,metallic_texture,metallic_texture_id,metallic_channel,metallic_format,source_texture_path,source_channel_status,source_channel_min_u8,source_channel_max_u8,source_channel_mean_u8,source_nonzero_pixels,source_total_pixels,effective_nonzero,lod0_submesh_count,lod0_triangles,meshes
125,MI_Terrain_X6_Y2,texture_override,0.0,False,423,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X6_Y2_23
126,MI_Terrain_X7_Y2,texture_override,0.0,False,427,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X7_Y2_24
127,MI_Terrain_X0_Y1,texture_override,0.0,False,431,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X0_Y1_9
128,MI_Terrain_X1_Y1,texture_override,0.0,False,435,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X1_Y1_10
129,MI_Terrain_X2_Y1,texture_override,0.0,False,439,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X2_Y1_11
130,MI_Terrain_X3_Y1,texture_override,0.0,False,443,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X3_Y1_12
131,MI_Terrain_X4_Y1,texture_override,0.0,False,447,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X4_Y1_13
132,MI_Terrain_X5_Y1,texture_override,0.0,False,451,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X5_Y1_14
133,MI_Terrain_X6_Y1,texture_override,0.0,False,455,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X6_Y1_15
134,MI_Terrain_X7_Y1,texture_override,0.0,False,459,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X7_Y1_16
135,MI_Terrain_X7_Y0,texture_override,0.0,False,463,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X7_Y0_8
136,MI_Terrain_X6_Y0,texture_override,0.0,False,467,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X6_Y0_7
137,MI_Terrain_X5_Y0,texture_override,0.0,False,471,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X5_Y0_6
