material_id,material,base_color,emissive,roughness,metallic,opacity,opacity_threshold,ior,specular,clearcoat,clearcoat_roughness,lod0_submesh_count,all_lod_submesh_count,lod0_triangles,meshes,base_color_binding,base_color_texture,base_color_channel,base_color_format,normal_binding,normal_texture,normal_channel,normal_format,roughness_binding,roughness_texture,roughness_channel,roughness_format,metallic_binding,metallic_texture,metallic_channel,metallic_format,opacity_binding,opacity_texture,opacity_channel,opacity_format,emissive_binding,emissive_texture,emissive_channel,emissive_format
20,MI_RiverFamily_Leaves_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,62330,RiverSapling_05_Translucent,66,PX_Prunus_x_yedoensis_Leaf_03_albedo.jpg,RGB,BC1_UNORM,67,PX_Prunus_x_yedoensis_Leaf_03_normal.jpg,RGB,BC5_UNORM,68,PX_Prunus_x_yedoensis_Leaf_03_roughness.jpg,R,BC4_UNORM,,,,,69,PX_Prunus_x_yedoensis_Leaf_03_opacity.jpg,R,BC4_UNORM,,,,
21,MI_RiverFamily_Trunk,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,4238,RiverSapling_01_Translucent,70,PX_Chamaecyparis_Pisifera_Bark_01_Albedo_Processed.png,RGB,BC1_UNORM,71,PX_Chamaecyparis_Pisifera_Bark_01_Normal_Processed.png,RGB,BC5_UNORM,72,PX_Chamaecyparis_Pisifera_Bark_01_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
22,MI_RiverFamily_Branches,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,29746,RiverSapling_01_Translucent,73,PX_Pinus_Rigida_Bark_02_Albedo_Processed.png,RGB,BC1_UNORM,74,PX_Pinus_Rigida_Bark_02_Normal_Processed.png,RGB,BC5_UNORM,75,PX_Pinus_Rigida_Bark_02_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
23,MI_RiverFamily_Leaves_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,67597,RiverSapling_01_Translucent,76,PX_Prunus_x_yedoensis_Leaf_03_albedo.jpg,RGB,BC1_UNORM,77,PX_Prunus_x_yedoensis_Leaf_03_normal.jpg,RGB,BC5_UNORM,78,PX_Prunus_x_yedoensis_Leaf_03_roughness.jpg,R,BC4_UNORM,,,,,79,PX_Prunus_x_yedoensis_Leaf_03_opacity.jpg,R,BC4_UNORM,,,,
24,MI_RiverFamily_Trunk,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,4038,RiverSapling_04_Translucent,80,PX_Chamaecyparis_Pisifera_Bark_01_Albedo_Processed.png,RGB,BC1_UNORM,81,PX_Chamaecyparis_Pisifera_Bark_01_Normal_Processed.png,RGB,BC5_UNORM,82,PX_Chamaecyparis_Pisifera_Bark_01_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
25,MI_RiverFamily_Branches,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,32102,RiverSapling_04_Translucent,83,PX_Pinus_Rigida_Bark_02_Albedo_Processed.png,RGB,BC1_UNORM,84,PX_Pinus_Rigida_Bark_02_Normal_Processed.png,RGB,BC5_UNORM,85,PX_Pinus_Rigida_Bark_02_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
26,MI_RiverFamily_Leaves_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,75762,RiverSapling_04_Translucent,86,PX_Prunus_x_yedoensis_Leaf_03_albedo.jpg,RGB,BC1_UNORM,87,PX_Prunus_x_yedoensis_Leaf_03_normal.jpg,RGB,BC5_UNORM,88,PX_Prunus_x_yedoensis_Leaf_03_roughness.jpg,R,BC4_UNORM,,,,,89,PX_Prunus_x_yedoensis_Leaf_03_opacity.jpg,R,BC4_UNORM,,,,
27,MI_RiverFamily_Trunk,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,4088,RiverSapling_03_Translucent,90,PX_Chamaecyparis_Pisifera_Bark_01_Albedo_Processed.png,RGB,BC1_UNORM,91,PX_Chamaecyparis_Pisifera_Bark_01_Normal_Processed.png,RGB,BC5_UNORM,92,PX_Chamaecyparis_Pisifera_Bark_01_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
28,MI_RiverFamily_Branches,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,29928,RiverSapling_03_Translucent,93,PX_Pinus_Rigida_Bark_02_Albedo_Processed.png,RGB,BC1_UNORM,94,PX_Pinus_Rigida_Bark_02_Normal_Processed.png,RGB,BC5_UNORM,95,PX_Pinus_Rigida_Bark_02_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
29,MI_RiverFamily_Leaves_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,68241,RiverSapling_03_Translucent,96,PX_Prunus_x_yedoensis_Leaf_03_albedo.jpg,RGB,BC1_UNORM,97,PX_Prunus_x_yedoensis_Leaf_03_normal.jpg,RGB,BC5_UNORM,98,PX_Prunus_x_yedoensis_Leaf_03_roughness.jpg,R,BC4_UNORM,,,,,99,PX_Prunus_x_yedoensis_Leaf_03_opacity.jpg,R,BC4_UNORM,,,,
30,MI_RiverFamily_Trunk,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,13648,RiverForest_03_Animated_Translucent,100,PX_Chamaecyparis_Pisifera_Bark_01_Albedo_Processed.png,RGB,BC1_UNORM,101,PX_Chamaecyparis_Pisifera_Bark_01_Normal_Processed.png,RGB,BC5_UNORM,102,PX_Chamaecyparis_Pisifera_Bark_01_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
31,MI_RiverFamily_Branches,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,136282,RiverForest_03_Animated_Translucent,103,PX_Pinus_Rigida_Bark_02_Albedo_Processed.png,RGB,BC1_UNORM,104,PX_Pinus_Rigida_Bark_02_Normal_Processed.png,RGB,BC5_UNORM,105,PX_Pinus_Rigida_Bark_02_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
